Group,Subgroup,Food Item,Health Rank (1=Best),Notes
탄수화물,쌀 종류,야생현미(Wild rice),1,"혈당을 천천히 올려 안정적인 식사 후 혈당 관리를 돕습니다"
탄수화물,쌀 종류,흑미(검은쌀),2,"항산화 성분과 섬유질로 혈당을 부드럽게 조절해 줍니다"
탄수화물,쌀 종류,현미,3,"자연스러운 식감과 함께 혈당을 완만하게 유지시켜 줍니다"
탄수화물,쌀 종류,적미(홍미),4,"풍부한 섬유질로 백미보다 혈당 부담을 줄여줍니다"
탄수화물,쌀 종류,현미 바스마티쌀,5,"향과 맛이 좋으면서 혈당 반응은 느리게 일어납니다"
탄수화물,쌀 종류,파보일드(가공미) 백미,6,"가공 과정 덕분에 소화가 느려 혈당이 천천히 오릅니다"
탄수화물,쌀 종류,백미 바스마티쌀,7,"부드러운 식감에도 불구하고 일반 백미보다 혈당에 덜 영향을 줍니다"
탄수화물,쌀 종류,일반 멥쌀 백미(장립종),8,"담백하지만 빠른 소화로 혈당을 빨리 올릴 수 있습니다"
탄수화물,쌀 종류,단립종 찹쌀(백미),9,"찰진 식감이 좋지만 혈당은 빠르게 올라갑니다"
탄수화물,쌀 종류,찹쌀밥/백미죽,10,"부드럽고 소화가 잘되지만 혈당은 급격히 오릅니다"
탄수화물,빵 종류,발아곡물빵(Ezekiel 등),1,"저GI 덕분에 식후 혈당을 안정적으로 유지해 줍니다"
탄수화물,빵 종류,펌퍼니켈 호밀빵,2,"거친 질감 덕분에 혈당이 천천히 올라갑니다"
탄수화물,빵 종류,100% 통밀빵,3,"탄탄한 섬유질이 혈당 스파이크를 막아줍니다"
탄수화물,빵 종류,통곡물 혼합빵(잡곡빵),4,"다양한 곡물의 힘으로 혈당을 완만하게 조절합니다"
탄수화물,빵 종류,귀리 함유 빵,5,"귀리의 베타글루칸이 혈당을 부드럽게 다스립니다"
탄수화물,빵 종류,사워도우(천연 발효종) 빵,6,"자연 발효가 혈당을 한층 더 느리게 올려줍니다"
탄수화물,빵 종류,호밀빵(일반),7,"건강한 풍미와 함께 중간 정도로 혈당을 올립니다"
탄수화물,빵 종류,무설탕 통밀 피타,8,"간단하면서도 혈당에는 덜 부담을 줍니다"
탄수화물,빵 종류,밀가루 흰빵,9,"부드럽지만 혈당은 빠르게 오릅니다"
탄수화물,빵 종류,단빵/크루아상 등 달거나 크림 든 빵,10,"맛은 풍부하지만 혈당과 건강에는 큰 부담을 줍니다"
탄수화물,면/국수 종류,곤약면(곤약국수),1,"탄수화물이 거의 없어 혈당에 부담이 없습니다"
탄수화물,면/국수 종류,당면(녹두/고구마),2,"소화가 느려 혈당을 서서히 올립니다"
탄수화물,면/국수 종류,검은콩두부면/블랙빈 파스타,3,"단백질과 섬유질 덕분에 혈당을 완만하게 올립니다"
탄수화물,면/국수 종류,렌틸/병아리콩 파스타,4,"콩의 힘으로 혈당 반응을 안정시킵니다"
탄수화물,면/국수 종류,완두콩/에다마메면,5,"담백하면서 혈당은 천천히 오릅니다"
탄수화물,면/국수 종류,통밀 스파게티(알덴테),6,"쫄깃한 식감과 함께 혈당을 차분히 올려줍니다"
탄수화물,면/국수 종류,메밀국수(소바),7,"은은한 풍미와 함께 혈당을 완만하게 올립니다"
탄수화물,면/국수 종류,쌀국수,8,"가볍지만 혈당은 빨리 오릅니다"
탄수화물,면/국수 종류,우동(밀국수),9,"담백하지만 혈당을 빨리 올릴 수 있습니다"
탄수화물,면/국수 종류,즉석 라면(튀긴 면),10,"편리하지만 혈당과 건강에는 불리합니다"
탄수화물,곡류(통곡물),보리,1,"풍부한 섬유가 혈당을 부드럽게 조절합니다"
탄수화물,곡류(통곡물),퀴노아,2,"완전 단백질로 혈당에 긍정적인 영향을 줍니다"
탄수화물,곡류(통곡물),강낭콩 등 콩류,3,"혈당 반응이 거의 없는 든든한 탄수화물입니다"
탄수화물,곡류(통곡물),귀리(오트밀),4,"부드러운 식감과 함께 혈당을 안정시켜 줍니다"
탄수화물,곡류(통곡물),통밀(밀 베리),5,"자연 그대로의 밀이라 혈당을 천천히 올립니다"
탄수화물,곡류(통곡물),부르귀(불구르),6,"가볍게 즐기면서 혈당 부담을 줄일 수 있습니다"
탄수화물,곡류(통곡물),메밀(통메밀),7,"담백한 곡물로 혈당에 완만한 영향을 줍니다"
탄수화물,곡류(통곡물),조/기장 등 잡곡,8,"전통적인 곡물이지만 양에 따라 혈당이 오를 수 있습니다"
탄수화물,곡류(통곡물),쿠스쿠스,9,"부드럽지만 혈당을 비교적 빠르게 올립니다"
탄수화물,곡류(통곡물),백미(흰쌀),10,"익숙하지만 혈당에는 불리합니다"
탄수화물,전분 채소(감자류),고구마(찐/삶은),1,"은은한 단맛과 함께 혈당을 차분히 올립니다"
탄수화물,전분 채소(감자류),알감자(껍질째 삶은),2,"작고 단단해 혈당 반응이 완만합니다"
탄수화물,전분 채소(감자류),옥수수(통옥수수),3,"고소하면서 혈당은 서서히 오릅니다"
탄수화물,전분 채소(감자류),타로(토란),4,"담백하지만 혈당은 다소 빠르게 오릅니다"
탄수화물,전분 채소(감자류),감자(삶은),5,"익숙한 맛이지만 혈당을 쉽게 올립니다"
탄수화물,전분 채소(감자류),늙은 호박/단호박,6,"달콤하지만 혈당에 다소 부담을 줍니다"
탄수화물,전분 채소(감자류),감자(구운 것),7,"고소하지만 혈당을 빠르게 올립니다"
탄수화물,전분 채소(감자류),감자 으깬 것(매시),8,"부드럽지만 혈당을 크게 올립니다"
탄수화물,전분 채소(감자류),고구마(구운 것),9,"달콤하지만 혈당이 급격히 오를 수 있습니다"
탄수화물,전분 채소(감자류),튀긴 감자(감자튀김),10,"맛은 좋지만 혈당과 건강에는 불리합니다"
탄수화물,아침 시리얼,밀기울 시리얼(올브랜 등),1,"아침을 가볍게 시작하며 혈당을 안정시킵니다"
탄수화물,아침 시리얼,뮤즐리(무가당),2,"고소한 곡물과 견과가 혈당을 천천히 올립니다"
탄수화물,아침 시리얼,오트밀(통귀리죽),3,"따뜻하게 즐기면서 혈당을 부드럽게 유지합니다"
탄수화물,아침 시리얼,고섬유 통곡물 시리얼,4,"바삭하지만 혈당은 완만하게 오릅니다"
탄수화물,아침 시리얼,레즌브랜 시리얼,5,"달콤하지만 섬유 덕분에 혈당을 조금 늦춥니다"
탄수화물,아침 시리얼,스페셜K 등 쌀/옥수수 시리얼,6,"가볍지만 혈당은 다소 빠르게 오릅니다"
탄수화물,아침 시리얼,즉석 오트밀(가당),7,"편리하지만 혈당을 크게 올립니다"
탄수화물,아침 시리얼,퍼프밀(뻥튀기) 시리얼,8,"바삭하지만 혈당을 빠르게 올립니다"
탄수화물,아침 시리얼,콘플레이크,9,"익숙하지만 혈당에는 불리합니다"
탄수화물,아침 시리얼,쌀 튀밥 시리얼(라이스 크리스피 등),10,"가볍지만 혈당이 급격히 오릅니다"
단백질,육류,닭가슴살(껍질 제거),1,"깔끔한 단백질로 혈당 부담 없이 든든합니다"
단백질,육류,칠면조 가슴살,2,"담백하게 즐기며 혈당을 안정시킬 수 있습니다"
단백질,육류,돼지 안심(지방 제거),3,"부드럽지만 지방이 적어 혈당에 부담이 없습니다"
단백질,육류,살코기 소고기(우둔/설도),4,"영양은 풍부하고 혈당은 크게 자극하지 않습니다"
단백질,육류,야생육(사슴 등),5,"자연의 단백질로 혈당에 좋은 선택입니다"
단백질,육류,닭다리살(껍질 제거),6,"풍미는 살리면서 혈당 부담은 줄입니다"
단백질,육류,돼지 등심/갈비(일부 지방),7,"맛은 풍부하지만 혈당에는 조금 불리합니다"
단백질,육류,소 등심(마블 많음),8,"고소하지만 혈당에는 다소 부담을 줍니다"
단백질,육류,양고기(비계 포함),9,"독특한 풍미지만 혈당에 불리할 수 있습니다"
단백질,육류,가공육(베이컨·소시지·햄),10,"맛은 강하지만 혈당과 건강에는 해롭습니다"
단백질,생선,연어,1,"오메가-3로 혈당과 심장을 함께 지켜줍니다"
단백질,생선,정어리/고등어 등 등푸른생선,2,"바다의 영양이 혈당을 건강하게 유지합니다"
단백질,생선,송어,3,"담백하면서 혈당에 좋은 단백질원입니다"
단백질,생선,참치,4,"가볍고 담백해 혈당에 부담이 없습니다"
단백질,생선,대구/명태 등 흰살생선,5,"깔끔한 맛과 함께 혈당을 안정시킵니다"
단백질,생선,광어/가자미,6,"부드럽지만 혈당에는 큰 자극이 없습니다"
단백질,생선,틸라피아,7,"담백하지만 영양적으로는 조금 아쉽습니다"
단백질,생선,메기 등 담수어,8,"구수하지만 혈당에는 덜 이롭습니다"
단백질,생선,게맛살(가공 어육),9,"맛은 흉내내지만 혈당에는 불리합니다"
단백질,생선,튀긴 생선,10,"바삭하지만 혈당과 건강에 큰 부담을 줍니다"
단백질,어패류/갑각류,새우,1,"탱글한 맛과 함께 혈당 부담이 거의 없습니다"
단백질,어패류/갑각류,가리비/조개류,2,"담백하면서 혈당에 좋은 단백질원입니다"
단백질,어패류/갑각류,게/랍스터,3,"고급스러운 맛이지만 혈당에는 부담이 없습니다"
단백질,어패류/갑각류,굴/홍합,4,"바다의 영양이 혈당을 안정시켜 줍니다"
단백질,어패류/갑각류,오징어/문어(삶은),5,"쫄깃한 맛과 함께 혈당 부담은 적습니다"
단백질,어패류/갑각류,전복,6,"고급 해산물이지만 혈당에는 큰 영향을 주지 않습니다"
단백질,어패류/갑각류,곰장어,7,"진한 풍미지만 혈당에는 불리할 수 있습니다"
단백질,어패류/갑각류,게살 가공품,8,"간편하지만 혈당 관리에는 아쉽습니다"
단백질,어패류/갑각류,튀김 어패류,9,"바삭하지만 혈당과 건강에 큰 부담을 줍니다"
단백질,어패류/갑각류,절인 어패류(젓갈),10,"진한 맛이지만 혈당과 건강에는 불리합니다"
단백질,콩/두부 등,병아리콩,1,"든든하면서도 혈당에는 거의 영향을 주지 않습니다"
단백질,콩/두부 등,렌틸콩,2,"작지만 혈당을 안정시켜 주는 단백질입니다"
단백질,콩/두부 등,검은콩/강낭콩 등,3,"구수하면서 혈당에 좋은 콩류입니다"
단백질,콩/두부 등,완두/병아리콩 페이스트(후무스),4,"부드럽게 즐기면서 혈당을 안정시킵니다"
단백질,콩/두부 등,두부,5,"가볍지만 혈당에는 큰 영향을 주지 않습니다"
단백질,콩/두부 등,템페,6,"고소한 풍미와 함께 혈당 관리에도 좋습니다"
단백질,콩/두부 등,에다마메,7,"싱그럽게 즐기면서 혈당을 안정시킵니다"
단백질,콩/두부 등,땅콩/땅콩버터,8,"고소하지만 양 조절이 필요합니다"
단백질,콩/두부 등,통조림 콩(베이크드빈 등),9,"편리하지만 혈당에는 불리합니다"
단백질,콩/두부 등,튀긴 콩제품(필라펠 등),10,"바삭하지만 혈당 관리에는 해롭습니다"
지방,식물성 기름,올리브유(엑스트라버진),1,"혈당과 심장을 동시에 지켜주는 기름입니다"
지방,식물성 기름,카놀라유,2,"부드럽게 요리하며 혈당을 안정시킵니다"
지방,식물성 기름,아보카도유,3,"고소한 풍미와 함께 혈당에 좋은 기름입니다"
지방,식물성 기름,해바라기씨유/홍화유,4,"밝은 풍미지만 혈당에는 적당히 사용해야 합니다"
지방,식물성 기름,땅콩기름,5,"고소하지만 과다 사용은 피하는 게 좋습니다"
지방,식물성 기름,참기름,6,"향긋하지만 혈당에는 소량만 권장됩니다"
지방,식물성 기름,옥수수유,7,"무난하지만 혈당 관리에는 적정량만 적합합니다"
지방,식물성 기름,팜유(야자유),8,"진하지만 혈당에는 불리합니다"
지방,식물성 기름,코코넛오일,9,"향은 좋지만 혈당 관리에는 권장되지 않습니다"
지방,식물성 기름,부분경화유(트랜스지방),10,"맛은 내지만 혈당과 건강에는 최악입니다"
지방,견과/종자류,치아씨드,1,"작지만 혈당을 든든하게 지켜줍니다"
지방,견과/종자류,아마씨,2,"고소하면서 혈당을 안정시킵니다"
지방,견과/종자류,호두,3,"풍부한 영양이 혈당과 함께 심장을 지켜줍니다"
지방,견과/종자류,아몬드,4,"바삭하면서 혈당을 부드럽게 유지합니다"
지방,견과/종자류,피스타치오,5,"은은한 단맛과 함께 혈당을 완만히 합니다"
지방,견과/종자류,땅콩,6,"고소하면서도 혈당에는 큰 영향을 주지 않습니다"
지방,견과/종자류,캐슈너트,7,"부드럽지만 혈당 관리에는 주의가 필요합니다"
지방,견과/종자류,해바라기씨,8,"고소하지만 혈당에는 적당히 즐겨야 합니다"
지방,견과/종자류,가염 혼합견과,9,"짭짤하지만 혈당과 건강에는 불리합니다"
지방,견과/종자류,설탕코팅/조린 견과,10,"달콤하지만 혈당에는 해롭습니다"
지방,동물성 지방,생선 지방(오메가-3 어유),1,"혈당과 심혈관 건강을 함께 챙겨줍니다"
지방,동물성 지방,오리/거위 기름,2,"풍미는 진하지만 혈당에는 적당히 사용해야 합니다"
지방,동물성 지방,닭기름(쉬멜쯔),3,"요리에 풍미를 더하지만 혈당에는 주의가 필요합니다"
지방,동물성 지방,라드(돼지기름),4,"고소하지만 혈당 관리에는 불리합니다"
지방,동물성 지방,쇠기름(소 비계),5,"진하지만 혈당에는 불리합니다"
지방,동물성 지방,버터,6,"부드럽지만 혈당에는 적당히 사용해야 합니다"
지방,동물성 지방,정제버터(Ghee),7,"풍미는 좋지만 혈당에는 주의가 필요합니다"
지방,동물성 지방,베이컨 기름,8,"진하지만 혈당과 건강에는 해롭습니다"
지방,동물성 지방,생크림(유지방),9,"부드럽지만 혈당에는 불리합니다"
지방,동물성 지방,가공식품 내 숨은 동물성지방,10,"맛은 좋지만 혈당과 건강에는 최악입니다"
과일,과일,체리,1,"달콤하면서도 혈당을 안정적으로 지켜줍니다"
과일,과일,자몽,2,"상큼하게 즐기며 혈당을 부드럽게 유지합니다"
과일,과일,딸기 등 베리류,3,"산뜻하면서 혈당에는 큰 부담이 없습니다"
과일,과일,사과,4,"아삭한 식감과 함께 혈당을 천천히 올립니다"
과일,과일,배,5,"달콤하지만 혈당은 부드럽게 유지됩니다"
과일,과일,오렌지,6,"상큼한 과육이 혈당을 완만하게 올립니다"
과일,과일,포도,7,"달콤하지만 소량이라면 혈당에 괜찮습니다"
과일,과일,바나나,8,"에너지는 채워주지만 혈당은 빠르게 오릅니다"
과일,과일,파인애플,9,"상큼하지만 혈당에는 다소 불리합니다"
과일,과일,수박,10,"시원하지만 혈당에는 불리합니다"
